"p","U:0","U:1","U:2","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.222551584,-0.02293591388,3.292828321,-3.269801664e-20,6533,1,6.136338711,23.16749954,-30.43857574,0
1.213339567,-0.0227854494,3.295911551,-3.54082933e-20,4333,1,6.205286503,23.17499924,-30.37003708,0
1.204112649,-0.02262605354,3.299072504,-3.533319112e-20,4333,1,6.274234295,23.18250084,-30.30149841,0
1.194895744,-0.02246040292,3.302230358,-3.473522678e-20,4333,1,6.343182087,23.19000053,-30.23295975,0
1.185802221,-0.02228638157,3.305348158,-3.343412983e-20,8706,1,6.412129879,23.19750023,-30.16442108,0
1.177291274,-0.02209522761,3.308274508,-3.144327735e-20,8706,1,6.481077671,23.20499992,-30.09588242,0
1.168791294,-0.02189811319,3.311195612,-3.020093285e-20,8706,1,6.550025463,23.21249962,-30.02734375,0
1.160302639,-0.02169504389,3.314111471,-2.970616575e-20,8706,1,6.618973255,23.21999931,-29.95880508,0
1.151824832,-0.02148609795,3.317022324,-2.995770621e-20,8706,1,6.687921047,23.22750092,-29.89026642,0
1.143358231,-0.02127113938,3.319928169,-3.095539589e-20,8706,1,6.756868839,23.23500061,-29.82172775,0
1.134902954,-0.0210502632,3.32282877,-3.269780338e-20,8706,1,6.825814724,23.24250031,-29.75319099,0
1.126572132,-0.02082898468,3.32568717,-3.381669117e-20,4323,1,6.894762516,23.25,-29.68465233,0
1.118772745,-0.02062797174,3.328371525,-2.897318356e-20,4323,1,6.963710308,23.25749969,-29.61611366,0
1.110984087,-0.02042243071,3.33105135,-2.412462401e-20,4323,1,7.0326581,23.26499939,-29.547575,0
1.103205919,-0.02021236345,3.333726406,-1.927101737e-20,4323,1,7.101605892,23.27249908,-29.47903633,0
1.095438361,-0.01999784075,3.336396933,-1.441240725e-20,4323,1,7.170553684,23.28000069,-29.41049767,0
1.087681532,-0.0197787378,3.339062929,-9.548726614e-21,4323,1,7.239501476,23.28750038,-29.341959,0
1.079935312,-0.01955512539,3.341724157,-4.680016654e-21,4323,1,7.308449268,23.29500008,-29.27342033,0
1.072275758,-0.01932547987,3.344354868,2.335787353e-22,8696,1,7.37739706,23.30249977,-29.20488167,0
1.065083385,-0.01908211038,3.346822023,5.385797606e-21,8696,1,7.446344852,23.30999947,-29.136343,0
1.057899833,-0.01883419417,3.34928298,1.053193902e-20,8696,1,7.515292645,23.31749916,-29.06780434,0
1.050725102,-0.0185817983,3.351737738,1.567197068e-20,8696,1,7.584240913,23.32500076,-28.99926567,0
1.043559551,-0.01832482032,3.354186296,2.080582999e-20,8696,1,7.653186321,23.33250046,-28.93072891,0
1.036402583,-0.01806329377,3.356628418,2.593377626e-20,8696,1,7.722134113,23.34000015,-28.86219025,0
1.029254317,-0.01779724285,3.359064102,3.105567215e-20,8696,1,7.791081905,23.34749985,-28.79365158,0
1.022136927,-0.01752840728,3.361486673,3.522280451e-20,4313,1,7.860029697,23.35499954,-28.72511292,0
1.015418172,-0.0172866974,3.363779783,2.215235886e-20,4313,1,7.928977489,23.36249924,-28.65657425,0
1.008705497,-0.01704183035,3.366067886,8.45190047e-21,4313,1,7.997925758,23.37000084,-28.58803558,0
1.001999259,-0.01679369435,3.36835146,-5.878043176e-21,4313,1,8.06687355,23.37750053,-28.51949692,0
0.9952932596,-0.01652806625,3.370496988,-2.003179574e-20,6512,1,8.135821342,23.38500023,-28.45095825,0
0.9885908365,-0.0162520539,3.372558832,-3.373078394e-20,6512,1,8.204769135,23.39249992,-28.38241959,0
0.9818950295,-0.01597301289,3.374603271,-4.725095089e-20,6512,1,8.273716927,23.39999962,-28.31388092,0
0.9752058387,-0.01569094695,3.376630068,-6.059242097e-20,6512,1,8.342664719,23.40749931,-28.24534225,0
0.9687762856,-0.01537257526,3.378530502,-5.83249832e-20,2102,1,8.411612511,23.41500092,-28.17680359,0
0.9623764157,-0.01504810527,3.380401373,-5.47600351e-20,2102,1,8.480558395,23.42250061,-28.10826683,0
0.9559792876,-0.0147210462,3.382254362,-5.152513529e-20,2102,1,8.549506187,23.43000031,-28.03972816,0
0.9495850801,-0.01439141482,3.384089231,-4.862002851e-20,2102,1,8.618453979,23.4375,-27.9711895,0
0.9431937933,-0.01405921578,3.385905981,-4.604434641e-20,2102,1,8.687401772,23.44499969,-27.90265083,0
